filepath_a,filepath_b,hamming
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_725.jpg,C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\RUMA\img_1535.jpg,4
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_725.jpg,C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_2603.jpg,4
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_725.jpg,C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT_SIMPLE\img_2695.jpg,5
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_725.jpg,C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_3022.jpg,4
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT_SIMPLE\img_765.jpg,C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT_SIMPLE\img_1341.jpg,4
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT_SIMPLE\img_1341.jpg,C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT_SIMPLE\img_1807.jpg,5
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT_SIMPLE\img_1341.jpg,C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_2023.jpg,3
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT_SIMPLE\img_1341.jpg,C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT_SIMPLE\img_2285.jpg,5
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\RUMA\img_1535.jpg,C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT_SIMPLE\img_2285.jpg,5
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\RUMA\img_1535.jpg,C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_2603.jpg,0
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\RUMA\img_1535.jpg,C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT_SIMPLE\img_2695.jpg,5
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\RUMA\img_1535.jpg,C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_3022.jpg,2
